tid,tournament_name,start_date,event_day,month,round,table,player_id,player_name,player_deck,opponent_id,opponent_name,opponent_deck,result
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,znBL3tiqw1dZD2kq4HXa#1,Fabio,Counter Blitz,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,znBL3tiqw1dZD2kq4HXa#2,Luiz,Exploradores das Profundezas,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,znBL3tiqw1dZD2kq4HXa#1,Fabio,Counter Blitz,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,znBL3tiqw1dZD2kq4HXa#2,Luiz,Exploradores das Profundezas,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,znBL3tiqw1dZD2kq4HXa#1,Fabio,Counter Blitz,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,znBL3tiqw1dZD2kq4HXa#1,Fabio,Counter Blitz,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,znBL3tiqw1dZD2kq4HXa#1,Fabio,Counter Blitz,znBL3tiqw1dZD2kq4HXa#2,Luiz,Exploradores das Profundezas,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,znBL3tiqw1dZD2kq4HXa#2,Luiz,Exploradores das Profundezas,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,znBL3tiqw1dZD2kq4HXa#2,Luiz,Exploradores das Profundezas,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,1,znBL3tiqw1dZD2kq4HXa#2,Luiz,Exploradores das Profundezas,znBL3tiqw1dZD2kq4HXa#1,Fabio,Counter Blitz,lose
