tid,tournament_name,start_date,event_day,month,round,table,player_id,player_name,player_deck,opponent_id,opponent_name,opponent_deck,result
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,DkPJTiHRCyF16O4pLfpu#1,Baron,Virtude e Valor,DkPJTiHRCyF16O4pLfpu#2,Dare,Animated Army,lose
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,DkPJTiHRCyF16O4pLfpu#1,Baron,Virtude e Valor,J2hczjqDaoVkvZK3nwxX#2,Jorel,Creative Energy,lose
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,DkPJTiHRCyF16O4pLfpu#1,Baron,Virtude e Valor,J2hczjqDaoVkvZK3nwxX#1,Martin,Jeskai Striker,lose
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,DkPJTiHRCyF16O4pLfpu#2,Dare,Animated Army,DkPJTiHRCyF16O4pLfpu#1,Baron,Virtude e Valor,lose
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,DkPJTiHRCyF16O4pLfpu#2,Dare,Animated Army,J2hczjqDaoVkvZK3nwxX#2,Jorel,Creative Energy,lose
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,DkPJTiHRCyF16O4pLfpu#2,Dare,Animated Army,J2hczjqDaoVkvZK3nwxX#1,Martin,Jeskai Striker,lose
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,J2hczjqDaoVkvZK3nwxX#2,Jorel,Creative Energy,DkPJTiHRCyF16O4pLfpu#1,Baron,Virtude e Valor,win
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,J2hczjqDaoVkvZK3nwxX#2,Jorel,Creative Energy,DkPJTiHRCyF16O4pLfpu#2,Dare,Animated Army,win
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,J2hczjqDaoVkvZK3nwxX#2,Jorel,Creative Energy,J2hczjqDaoVkvZK3nwxX#1,Martin,Jeskai Striker,win
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,J2hczjqDaoVkvZK3nwxX#1,Martin,Jeskai Striker,DkPJTiHRCyF16O4pLfpu#1,Baron,Virtude e Valor,win
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2026-01-31,2026-01,1,1,J2hczjqDaoVkvZK3nwxX#1,Martin,Jeskai Striker,DkPJTiHRCyF16O4pLfpu#2,Dare,Animated Army,win
