tid,player_name,tournament_name,start_date,month,matches,wins,draws,losses,points_match,win_rate,opp_win_rate,event_rank,event_points,event_players
liga-2x2-presencial-s1-e01-1,Metusa & Nobru,Liga 2x2 presencial S1-E01,2026-01-31,2026-01,3,3,0,0,9,1.0,0.2222222222222222,1,3,6
liga-2x2-presencial-s1-e01-1,Guga & Langa,Liga 2x2 presencial S1-E01,2026-01-31,2026-01,3,2,0,1,6,0.6666666666666666,0.3333333333333333,2,2,6
liga-2x2-presencial-s1-e01-1,Pedro & Teixeira,Liga 2x2 presencial S1-E01,2026-01-31,2026-01,3,1,1,1,4,0.3333333333333333,0.5555555555555555,3,2,6
liga-2x2-presencial-s1-e01-1,Jorel & Martin,Liga 2x2 presencial S1-E01,2026-01-31,2026-01,3,1,0,2,3,0.3333333333333333,0.6666666666666666,4,2,6
liga-2x2-presencial-s1-e01-1,Baron & Dare,Liga 2x2 presencial S1-E01,2026-01-31,2026-01,3,1,0,2,3,0.3333333333333333,0.3333333333333333,5,1,6
liga-2x2-presencial-s1-e01-1,Nath & Zubk,Liga 2x2 presencial S1-E01,2026-01-31,2026-01,3,0,1,2,1,0.0,0.5555555555555555,6,1,6
liga-2x2-presencial-s1-e02,Metusa & Nobru,Liga 2x2 presencial S1-E02,2026-02-07,2026-02,3,2,0,1,6,0.6666666666666666,0.3333333333333333,1,3,4
liga-2x2-presencial-s1-e02,Jorel & Martin,Liga 2x2 presencial S1-E02,2026-02-07,2026-02,3,1,1,1,4,0.3333333333333333,0.4444444444444444,3,2,4
liga-2x2-presencial-s1-e02,Oscar & Tony,Liga 2x2 presencial S1-E02,2026-02-07,2026-02,3,1,1,1,4,0.3333333333333333,0.4444444444444444,2,2,4
liga-2x2-presencial-s1-e02,Fiel & marcus vinicius werneck esteves,Liga 2x2 presencial S1-E02,2026-02-07,2026-02,3,1,0,2,3,0.3333333333333333,0.4444444444444444,4,2,4
liga-2x2-presencial-s1-e04,Bauer & Langa,Liga 2x2 presencial S1-E04,2026-02-21,2026-02,3,2,1,0,7,0.6666666666666666,0.4444444444444444,1,3,6
liga-2x2-presencial-s1-e04,Metusa & Rudzzt,Liga 2x2 presencial S1-E04,2026-02-21,2026-02,3,2,0,1,6,0.6666666666666666,0.3333333333333333,2,2,6
liga-2x2-presencial-s1-e04,Jorel & Martin,Liga 2x2 presencial S1-E04,2026-02-21,2026-02,3,1,2,0,5,0.3333333333333333,0.3333333333333333,3,2,6
liga-2x2-presencial-s1-e04,Zangalli & Zangalli pai,Liga 2x2 presencial S1-E04,2026-02-21,2026-02,3,1,1,1,4,0.3333333333333333,0.2222222222222222,4,2,6
liga-2x2-presencial-s1-e04,Freire & Pudeulko,Liga 2x2 presencial S1-E04,2026-02-21,2026-02,3,1,0,2,3,0.3333333333333333,0.5555555555555555,5,1,6
liga-2x2-presencial-s1-e04,Nobru & Tarik,Liga 2x2 presencial S1-E04,2026-02-21,2026-02,3,0,0,3,0,0.0,0.4444444444444444,6,1,6
liga-2x2-presencial-s1-e06,Metusa & Rudzzt,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,2,1,0,7,0.6666666666666666,0.3333333333333333,1,3,5
liga-2x2-presencial-s1-e06,Carlos & Mel,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,2,0,1,6,0.6666666666666666,0.2222222222222222,2,2,5
liga-2x2-presencial-s1-e06,Luciano & Matheus,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,1,0,2,3,0.3333333333333333,0.3333333333333333,3,2,5
liga-2x2-presencial-s1-e06,Nobru & Tarik,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,0,1,2,1,0.0,0.5555555555555555,5,1,5
liga-2x2-presencial-s1-e06,Aleksander & Luisa,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,1,0,0,1,0,0.0,0.6666666666666666,6,1,5
liga-2x2-presencial-s1-e07,Jorel & Martin,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,3,0,0,9,1.0,0.4444444444444444,1,3,8
liga-2x2-presencial-s1-e07,Langa & Murilo Ferreira,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,2,0,1,6,0.6666666666666666,0.4444444444444444,2,2,8
liga-2x2-presencial-s1-e07,Metusa & Rudzzt,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,1,2,0,5,0.3333333333333333,0.2222222222222222,3,2,8
liga-2x2-presencial-s1-e07,Gustavo Dias & Melk,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,1,2,0,5,0.3333333333333333,0.1111111111111111,4,2,8
liga-2x2-presencial-s1-e07,Bauer & Kennao,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,1,1,1,4,0.3333333333333333,0.4444444444444444,5,1,8
liga-2x2-presencial-s1-e07,Leonardo & Theo,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,1,0,2,3,0.3333333333333333,0.5555555555555555,6,1,8
liga-2x2-presencial-s1-e07,Luciano & Matheus,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,0,1,2,1,0.0,0.4444444444444444,7,1,8
liga-2x2-presencial-s1-e07,Nicolas & Nobru,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,0,0,3,0,0.0,0.3333333333333333,8,1,8
liga-2x2-presencial-s1-e08,Vina & Zangalli,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,3,0,0,9,1.0,0.4444444444444444,1,3,8
liga-2x2-presencial-s1-e08,Jorel & Martin,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,2,0,1,6,0.6666666666666666,0.4444444444444444,2,2,8
liga-2x2-presencial-s1-e08,Metusa & Rudzzt,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,2,0,1,6,0.6666666666666666,0.2222222222222222,3,2,8
liga-2x2-presencial-s1-e08,Melk & Sônia,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,1,1,4,0.3333333333333333,0.5555555555555555,4,2,8
liga-2x2-presencial-s1-e08,Banshee & Gabi,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,1,1,4,0.3333333333333333,0.4444444444444444,5,1,8
liga-2x2-presencial-s1-e08,Matheus & Murilo,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,0,2,3,0.3333333333333333,0.5555555555555555,6,1,8
liga-2x2-presencial-s1-e08,Guga & Nobru,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,0,2,3,0.3333333333333333,0.4444444444444444,7,1,8
liga-2x2-presencial-s1-e08,Manfrinato & Melissa,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,0,0,3,0,0.0,0.5555555555555555,8,1,8
liga-2x2-presencial-s1-e09,Arthur Castanhari & Murilo Oyafuso,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,3,3,0,0,9,1.0,0.16666666666666666,1,3,5
liga-2x2-presencial-s1-e09,Jorel & Martin,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,2,1,0,1,6,0.5,0.5,2,2,5
liga-2x2-presencial-s1-e09,Matheus & Romano,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,3,0,2,1,2,0.0,0.16666666666666666,5,1,5
